Year,Bank Name,Bank ID,ROE,ROA,SR,CR,TA,CC,FFR,Return on Share
2011,JPM,1,0.096,0.008,11.34,0.91,0.16867013,0.07891732,-0.07418798,0.03893
2012,JPM,1,0.101,0.009,10.56,0.93,0.04516528,0.08375812,0.038678035,0.05123
2013,JPM,1,0.079,0.007,10.44,0.95,0.1906104,0.06985453,-0.032918242,0.02531
2014,JPM,1,0.088,0.008,10.1,0.98,0.2225848,0.06948862,-0.019226831,0.02966
2015,JPM,1,0.0934,0.0092,8.5,1.02,0.03465815,0.06980992,0.045117896,0.03215
2016,JPM,1,0.0903,0.0092,8.8,1.01,-0.00352006,0.06082166,0.259561475,0.04396
2017,JPM,1,0.0878,0.0088,8.91,1.02,-0.00228602,0.06495718,0.607769746,0.0502
2018,JPM,1,0.1194,0.0118,9.22,1,-0.04127998,0.06596819,0.831640169,0.07146
2019,JPM,1,0.1326,0.0127,9.28,0.92,-0.08568912,0.0491605,0.326158154,0.07809
2011,BAC,2,0,0,8.95,1.02,0.16867013,0.07891732,-0.07418798,-0.04023
2012,BAC,2,0.012,0.001,8.33,0.94,0.04516528,0.08375812,0.038678035,-0.05371
2013,BAC,2,0.043,0.005,8.04,0.96,0.1906104,0.06985453,-0.032918242,-0.05743
2014,BAC,2,0.019,0.002,7.64,0.94,0.2225848,0.06948862,-0.019226831,0.08563
2015,BAC,2,0.0934,0.0092,7.37,1.02,0.03465815,0.06980992,0.045117896,-0.04963
2016,BAC,2,0.0903,0.0092,7.22,1.01,-0.00352006,0.06082166,0.259561475,0.02837
2017,BAC,2,0.0878,0.0088,7.54,1.02,-0.00228602,0.06495718,0.607769746,0.03721
2018,BAC,2,0.1194,0.0118,7.87,1,-0.04127998,0.06596819,0.831640169,0.07279
2019,BAC,2,0.1321,0.0127,8.19,0.92,-0.08568912,0.0491605,0.326158154,0.09713
2011,WFC,3,0.11,0.012,8.27,0.9,0.16867013,0.07891732,-0.07418798,0.00597
2012,WFC,3,0.119,0.013,7.95,0.92,0.04516528,0.08375812,0.038678035,0.02058
2013,WFC,3,0.126,0.014,7.91,0.94,0.1906104,0.06985453,-0.032918242,0.02174
2014,WFC,3,0.121,0.013,8.11,0.93,0.2225848,0.06948862,-0.019226831,0.03357
2015,WFC,3,0.1117,0.0123,8.22,0.93,0.03465815,0.06980992,0.045117896,0.04881
2016,WFC,3,0.1012,0.0107,8.63,0.92,-0.00352006,0.06082166,0.259561475,0.04714
2017,WFC,3,0.0998,0.0106,8.38,0.88,-0.00228602,0.06495718,0.607769746,0.04341
2018,WFC,3,0.1023,0.0109,8.62,0.88,-0.04127998,0.06596819,0.831640169,0.07195
2019,WFC,3,0.0919,0.0093,9.25,0.87,-0.08568912,0.0491605,0.326158154,0.12243
2011,THFF,4,0.108,0.014,7.51,0.86,0.16867013,0.07891732,-0.07418798,0.02499
2012,THFF,4,0.09,0.011,6.78,0.84,0.04516528,0.08375812,0.038678035,0.02557
2013,THFF,4,0.084,0.011,6.82,0.74,0.1906104,0.06985453,-0.032918242,0.00784
2014,THFF,4,0.084,0.011,6.62,0.74,0.2225848,0.06948862,-0.019226831,0.03422
2015,THFF,4,0.074,0.01,6.26,0.75,0.03465815,0.06980992,0.045117896,0.05864
2016,THFF,4,0.092,0.013,6.21,0.76,-0.00352006,0.06082166,0.259561475,0.05939
2017,THFF,4,0.068,0.01,6.26,0.78,-0.00228602,0.06495718,0.607769746,0.0626
2018,THFF,4,0.109,0.016,5.8,0.81,-0.04127998,0.06596819,0.831640169,0.02287
2019,THFF,4,0.095,0.014,6.22,0.83,-0.08568912,0.0491605,0.326158154,-0.02856
2011,CTBI,5,0.109,0.011,8.79,0.89,0.16867013,0.07891732,-0.07418798,0.03461
2012,CTBI,5,0.115,0.012,8.08,0.88,0.04516528,0.08375812,0.038678035,0.02755
2013,CTBI,5,0.111,0.012,7.68,0.88,0.1906104,0.06985453,-0.032918242,0.01799
2014,CTBI,5,0.099,0.012,7.31,0.9,0.2225848,0.06948862,-0.019226831,0.02295
2015,CTBI,5,0.1,0.012,7.21,0.94,0.03465815,0.06980992,0.045117896,0.02978
2016,CTBI,5,0.096,0.012,6.86,0.91,-0.00352006,0.06082166,0.259561475,0.02055
2017,CTBI,5,0.099,0.013,6.79,0.93,-0.00228602,0.06495718,0.607769746,0.02255
2018,CTBI,5,0.108,0.014,6.45,0.94,-0.04127998,0.06596819,0.831640169,0.03192
2019,CTBI,5,0.108,0.015,6.1,0.96,-0.08568912,0.0491605,0.326158154,0.02954
